Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curva,alpha_fuzzy,radio_curva
L,40,26.00,24.90,25.00,25.01,-0.04,0.00,660.97,47.56,27.05,0.99,0.05
S,40,18.10,13.10,17.51,20.18,0.01,17.77,501.51,-15.46,3.14,0.91,0.01
L,40,26.40,24.90,25.00,25.20,-0.04,0.00,655.94,-30.58,27.29,0.99,0.03
S,40,20.50,13.10,25.00,20.14,0.01,25.44,682.45,-29.11,1.66,0.96,0.00
L,40,26.20,24.90,25.00,25.25,0.02,0.00,653.40,-248.64,21.18,0.99,0.02
S,40,21.50,13.10,27.97,20.12,0.02,28.90,788.89,-45.57,0.29,0.93,0.00
L,40,25.60,24.90,25.00,25.04,0.02,0.00,657.53,-165.16,18.17,0.99,0.03
S,40,20.50,13.10,25.49,22.14,0.08,26.24,717.01,-245.36,2.44,0.93,0.00
L,40,26.00,24.90,25.00,24.97,0.02,0.00,659.04,-167.21,22.29,0.99,0.05
S,40,19.20,13.10,19.64,24.15,0.09,21.62,531.11,-212.66,6.84,0.70,0.01
L,40,26.90,24.90,25.00,25.00,-0.03,0.00,658.54,36.12,25.94,0.99,0.05
S,40,21.30,13.10,20.69,24.84,0.08,26.85,514.54,-200.54,16.12,0.48,0.04
L,40,27.00,24.90,25.00,24.50,0.02,0.00,671.59,-246.89,23.74,0.99,0.03
S,40,20.70,13.10,19.77,23.33,0.08,24.53,505.55,-201.91,24.75,0.50,0.06
L,40,27.50,24.90,25.00,24.79,0.03,0.00,666.90,-180.88,22.44,0.99,0.03
S,40,19.60,13.10,17.98,22.09,0.07,20.90,470.43,-198.09,29.01,0.50,0.06
L,40,28.30,24.90,25.00,26.51,0.02,0.00,623.15,-167.16,26.24,0.99,0.04
S,40,21.90,13.10,15.85,22.00,0.02,27.20,393.41,-19.08,37.06,0.07,0.11
L,40,28.20,24.90,25.00,24.77,-0.04,0.00,659.75,46.60,28.39,0.98,0.05
S,40,18.10,13.10,15.31,19.85,0.01,15.74,399.59,-87.58,32.55,0.42,0.05
L,40,28.60,24.90,25.00,25.44,-0.04,0.00,643.56,-26.22,27.43,0.99,0.03
S,40,19.00,13.10,16.92,18.11,0.01,18.57,460.82,-98.13,25.26,0.54,0.04
L,40,29.60,24.90,25.00,24.60,0.02,0.00,662.93,-249.68,20.57,0.99,0.02
S,40,19.20,13.10,17.13,16.62,0.01,19.23,498.10,-95.56,19.65,0.50,0.04
L,40,30.20,24.90,25.00,24.60,0.02,0.00,665.26,-159.75,18.84,0.99,0.03
S,40,20.70,13.10,19.23,16.49,0.01,23.85,559.37,-92.63,17.63,0.48,0.04
L,40,34.00,24.90,25.00,25.06,0.02,0.00,655.59,-158.58,23.34,0.99,0.04
S,40,20.70,13.10,19.23,18.03,0.01,23.91,535.25,-95.30,17.20,0.48,0.03
L,40,53.50,24.90,25.00,24.87,-0.13,0.00,660.11,393.42,26.70,0.99,0.04
S,40,21.30,13.10,20.18,19.04,0.01,25.79,540.59,-96.70,16.82,0.48,0.04
L,40,58.10,24.90,25.00,24.71,0.02,0.00,665.02,-365.88,22.82,0.99,0.01
S,40,25.10,13.10,23.19,18.41,0.01,35.00,642.43,-100.00,16.36,0.41,0.03
L,40,57.30,24.90,25.00,24.52,0.06,0.00,671.87,-303.04,10.41,0.99,0.02
S,40,26.20,13.10,22.36,19.54,0.01,35.00,618.92,-95.85,16.10,0.37,0.03
L,40,58.10,24.90,25.00,24.61,0.06,0.00,672.26,-234.11,16.79,0.99,0.05
S,40,25.90,13.10,22.63,20.75,0.01,35.00,610.77,-104.49,16.38,0.38,0.03
L,40,58.90,24.90,25.00,24.55,0.03,0.00,676.17,-132.76,26.74,0.99,0.06
S,40,26.00,13.10,22.55,21.48,0.01,35.00,600.35,-112.74,16.68,0.38,0.03
L,40,56.30,24.90,25.00,24.89,0.02,0.00,669.90,-171.10,31.91,0.50,0.05
S,40,30.20,13.10,16.25,21.61,0.01,35.00,438.72,-118.42,16.82,0.06,0.03
L,40,57.00,24.90,25.00,25.21,0.02,0.00,662.10,-181.13,32.87,0.50,0.05
S,40,31.60,13.10,16.27,19.83,0.02,35.00,454.62,-126.70,17.70,0.06,0.03
L,40,55.50,24.90,25.00,25.61,0.02,0.00,650.55,-171.36,32.71,0.50,0.05
S,40,31.50,13.10,16.29,19.14,0.02,35.00,452.34,-131.34,18.45,0.06,0.04
L,40,55.20,24.90,25.00,25.42,-0.08,0.00,651.77,182.84,32.92,0.50,0.05
S,40,36.40,13.10,16.29,18.24,0.01,35.00,459.47,-122.17,18.54,0.06,0.04
L,40,54.30,24.90,25.00,25.24,-0.08,0.00,654.10,36.52,29.45,0.98,0.04
S,40,37.10,13.10,16.30,17.58,0.01,35.00,465.70,-122.24,18.94,0.07,0.04
L,40,54.10,24.90,25.00,25.13,0.03,0.00,655.72,-350.12,18.17,0.99,0.02
S,40,37.00,13.10,16.32,17.18,0.01,35.00,469.16,-119.76,19.52,0.07,0.04
L,40,53.50,24.90,25.00,24.83,0.08,0.00,662.83,-348.82,12.71,0.99,0.02
S,40,35.70,13.10,16.34,16.99,0.01,35.00,469.65,-115.45,19.91,0.07,0.04
S,40,34.90,13.10,16.32,16.84,0.00,35.00,469.40,-106.81,19.55,0.07,0.04
S,40,33.50,13.10,16.33,16.84,-0.00,35.00,466.41,-94.98,19.59,0.07,0.04
L,40,52.00,24.90,25.00,24.84,0.07,0.00,663.39,-280.08,21.96,0.99,0.05
S,40,32.30,13.10,16.31,16.86,-0.00,35.00,462.46,-90.62,19.08,0.07,0.04
L,40,52.90,24.90,25.00,24.88,0.03,0.00,663.21,-143.49,32.33,0.50,0.07
L,40,52.00,24.90,25.00,25.06,-0.08,0.00,659.43,170.09,37.76,0.50,0.06
S,40,32.00,13.10,16.28,16.83,-0.01,35.00,459.21,-84.82,18.10,0.06,0.04
L,40,55.20,24.90,25.00,25.33,-0.08,0.00,651.86,33.67,34.96,0.50,0.03
S,40,31.30,13.10,16.25,16.63,-0.01,35.00,460.60,-84.82,17.16,0.06,0.04
L,40,52.90,24.90,25.00,25.27,-0.07,0.00,651.65,11.19,21.57,0.99,0.00
S,40,29.40,13.10,16.23,16.59,-0.01,35.00,458.92,-81.73,16.29,0.06,0.04
S,40,28.90,13.10,16.24,16.44,-0.01,35.00,460.99,-80.72,15.35,0.06,0.03
L,40,52.60,24.90,25.00,25.23,0.07,0.00,651.18,-474.30,13.16,0.99,0.00
L,40,51.50,24.90,25.00,24.74,0.01,0.00,662.43,-47.03,12.12,0.99,0.04
S,40,29.00,13.10,16.26,16.46,-0.01,35.00,459.78,-84.13,14.50,0.06,0.03
S,40,27.90,13.10,17.92,16.45,-0.01,35.00,502.10,-86.52,14.08,0.15,0.03
S,40,27.20,13.10,20.68,16.45,-0.01,35.00,583.02,-84.63,13.68,0.28,0.03
S,40,26.90,13.10,21.26,17.28,-0.00,35.00,600.88,-91.63,13.83,0.31,0.03
S,40,25.80,13.10,22.71,18.59,-0.00,35.00,627.90,-96.81,14.64,0.39,0.03
S,40,25.40,13.10,23.01,19.67,0.00,35.00,631.10,-106.41,15.10,0.40,0.03
L,40,52.50,24.90,25.00,24.45,-0.01,0.00,671.58,-71.99,23.49,0.99,0.05
L,40,51.00,24.90,25.00,24.49,-0.01,0.00,673.78,-103.95,24.46,0.99,0.04
S,40,25.20,13.10,23.13,21.08,0.01,35.00,617.06,-112.19,15.54,0.41,0.03
L,40,49.90,24.90,25.00,24.85,-0.01,0.00,667.40,-112.66,22.81,0.99,0.03
L,40,44.40,24.90,25.00,26.24,-0.01,0.00,626.35,-172.54,17.02,0.99,0.00
L,40,43.60,24.90,25.00,24.28,0.00,0.00,670.38,-142.25,12.85,0.99,0.02
L,40,43.50,24.90,25.00,24.50,0.08,0.00,668.90,-392.52,15.62,0.99,0.03
S,40,24.60,13.10,23.47,21.36,0.01,35.00,630.54,-113.71,16.82,0.42,0.03
L,40,42.60,24.90,25.00,24.58,0.00,0.00,669.61,-16.07,22.43,0.99,0.07
L,40,43.20,24.90,25.00,25.11,-0.01,0.00,658.14,-74.15,30.08,0.50,0.04
S,40,24.50,13.10,23.52,23.18,0.01,35.00,596.48,-120.23,18.16,0.43,0.03
S,40,24.50,13.10,23.52,21.83,0.01,35.00,633.70,-124.47,19.10,0.43,0.03
S,40,24.30,13.10,23.62,22.30,0.01,35.00,633.90,-122.94,19.76,0.43,0.04
S,40,24.50,13.10,23.52,23.80,0.01,35.00,599.76,-127.19,20.67,0.43,0.03
L,40,46.60,24.90,25.00,24.98,-0.01,0.00,660.90,-108.74,27.14,0.99,0.03
S,41,23.90,13.10,23.35,22.68,0.01,33.98,623.02,-129.94,21.19,0.44,0.04
L,40,49.30,24.90,25.00,25.07,-0.00,0.00,658.84,-123.74,24.42,0.99,0.03
S,40,24.60,13.10,23.56,22.68,0.01,35.00,632.53,-137.06,21.61,0.43,0.04
L,40,50.90,24.90,25.00,25.13,0.08,0.00,656.81,-403.43,23.15,0.99,0.03
S,40,24.20,13.10,23.65,22.93,0.01,34.88,633.32,-143.98,22.04,0.44,0.04
L,40,56.30,24.90,25.00,25.15,-0.00,0.00,655.49,-9.38,24.57,0.99,0.04
S,40,24.60,13.10,23.71,23.19,0.02,35.00,632.20,-147.02,22.67,0.44,0.04
L,40,53.90,24.90,25.00,25.23,-0.02,0.00,652.61,-83.24,32.37,0.50,0.05
S,40,25.20,13.10,23.63,23.36,0.02,35.00,628.85,-153.34,23.19,0.43,0.04
L,40,58.80,24.90,25.00,25.01,-0.01,0.00,656.91,-114.33,28.46,0.98,0.04
S,40,25.60,13.10,23.65,23.72,0.02,35.00,621.67,-151.99,24.03,0.43,0.04
L,40,58.40,24.90,25.00,25.20,-0.01,0.00,651.81,-122.79,25.46,0.99,0.04
S,40,26.10,13.10,23.59,23.67,0.02,35.00,620.90,-153.11,24.73,0.43,0.04
L,40,55.00,24.90,25.00,25.19,-0.00,0.00,650.98,-133.91,24.04,0.99,0.04
L,40,55.00,24.90,25.00,25.19,-0.00,0.00,650.98,-133.91,24.04,0.99,0.04
S,40,25.70,13.10,23.95,23.69,0.01,35.00,629.46,-149.50,25.45,0.45,0.04
L,40,60.80,24.90,25.00,24.98,0.01,0.00,655.27,-151.84,23.43,0.99,0.04
S,40,26.20,13.10,23.87,23.71,0.01,35.00,628.17,-140.32,25.84,0.44,0.04
L,40,53.90,24.90,25.00,25.17,0.08,0.00,650.42,-397.11,24.05,0.99,0.04
S,40,26.30,13.10,23.47,23.73,0.01,35.00,618.17,-137.12,26.17,0.42,0.04
L,40,49.30,24.90,25.00,24.94,-0.01,0.00,655.52,3.69,27.03,0.99,0.05
S,40,27.80,13.10,20.08,23.62,0.00,35.00,531.10,-131.97,25.61,0.25,0.04
L,40,57.20,24.90,25.00,25.15,-0.07,0.00,650.29,97.25,34.05,0.50,0.06
S,40,28.10,13.10,16.57,22.89,0.00,35.00,437.78,-128.62,25.45,0.08,0.04
L,40,47.50,24.90,25.00,25.24,-0.07,0.00,647.21,16.29,27.96,0.98,0.02
S,40,34.80,13.10,16.53,21.89,-0.00,35.00,425.99,-120.94,24.52,0.08,0.04
L,40,46.30,24.90,25.00,24.93,-0.01,0.00,653.92,-167.39,17.71,0.99,0.01
S,40,39.40,13.10,16.50,20.30,-0.00,35.00,435.51,-114.08,23.85,0.07,0.05
L,40,49.40,24.90,25.00,24.88,-0.01,0.00,655.61,-115.49,12.68,0.99,0.02
S,40,43.30,13.10,16.43,18.84,-0.01,35.00,449.98,-98.55,22.44,0.07,0.05
L,40,52.70,24.90,25.00,25.19,-0.01,0.00,648.14,-96.77,14.60,0.99,0.03
S,40,47.60,13.10,16.39,17.71,-0.01,35.00,464.45,-86.44,21.37,0.07,0.05
L,40,56.60,24.90,25.00,25.03,-0.00,0.00,651.29,-108.45,16.87,0.99,0.03
S,40,49.00,13.10,16.34,16.94,-0.02,35.00,475.54,-81.04,19.97,0.07,0.04
L,40,60.10,24.90,25.00,25.00,0.00,0.00,651.78,-120.06,18.05,0.99,0.03
S,40,50.30,13.10,16.29,16.70,-0.02,35.00,477.13,-76.07,18.54,0.06,0.04
L,40,60.60,24.90,25.00,24.49,0.01,0.00,665.18,-135.37,19.60,0.99,0.03
S,40,49.30,13.10,16.25,16.68,-0.02,35.00,474.12,-75.73,16.84,0.06,0.03
L,40,67.60,24.90,25.00,24.60,0.01,0.00,665.24,-153.99,20.96,0.99,0.03
S,40,47.70,13.10,16.24,16.96,-0.02,35.00,464.18,-53.34,15.38,0.06,0.03
L,40,62.80,24.90,25.00,26.44,0.02,0.00,619.65,-154.39,22.58,0.99,0.03
S,40,49.00,13.10,16.29,17.08,-0.02,35.00,457.92,-79.80,13.44,0.06,0.03
L,40,64.70,24.90,25.00,24.53,0.01,0.00,661.00,-143.45,23.90,0.99,0.04
S,40,51.00,13.10,16.31,17.07,-0.02,35.00,454.18,-74.19,12.55,0.07,0.03
L,40,65.90,24.90,25.00,24.69,0.01,0.00,659.55,-143.22,25.64,0.99,0.04
S,40,50.70,13.10,16.32,16.80,-0.02,35.00,457.20,-71.60,12.22,0.07,0.03
L,40,66.30,24.90,25.00,24.77,0.01,0.00,659.38,-136.17,26.16,0.99,0.04
S,40,51.20,13.10,16.32,16.58,-0.01,35.00,459.90,-76.99,12.36,0.07,0.03
L,40,66.40,24.90,25.00,24.95,0.01,0.00,655.86,-139.09,26.54,0.99,0.04
S,40,49.90,13.10,16.32,16.60,-0.01,35.00,457.82,-78.85,12.34,0.07,0.03
L,40,65.20,24.90,25.00,25.17,0.01,0.00,650.50,-138.09,27.05,0.99,0.04
S,40,49.30,13.10,16.32,16.14,-0.01,35.00,468.19,-84.88,12.32,0.07,0.03
L,40,65.90,24.90,25.00,25.36,0.01,0.00,644.48,-140.53,26.77,0.99,0.04
S,40,49.40,13.10,16.30,16.52,-0.00,35.00,458.98,-88.63,12.75,0.07,0.03
L,40,65.90,24.90,25.00,25.48,0.01,0.00,639.28,-139.82,26.88,0.99,0.04
S,40,47.70,13.10,16.29,16.59,-0.00,35.00,455.52,-99.42,13.33,0.06,0.03
L,40,65.20,24.90,25.00,25.48,0.00,0.00,636.47,-131.98,26.99,0.99,0.04
S,40,47.50,13.10,16.28,16.60,0.00,35.00,453.19,-103.45,13.81,0.06,0.03
L,40,63.50,24.90,25.00,25.20,0.00,0.00,641.07,-128.78,26.85,0.99,0.04
S,40,49.20,13.10,16.25,16.37,0.00,35.00,456.65,-108.45,14.75,0.06,0.04
L,40,63.70,24.90,25.00,25.17,0.00,0.00,640.61,-134.56,26.85,0.99,0.04
S,40,44.70,13.10,16.23,16.43,0.01,35.00,454.07,-115.91,15.71,0.06,0.04
L,40,65.00,24.90,25.00,26.45,0.00,0.00,606.17,-129.17,27.08,0.99,0.04
S,40,45.40,13.10,16.23,16.35,0.01,35.00,454.88,-119.94,16.19,0.06,0.04
L,40,54.10,24.90,25.00,25.80,-0.00,0.00,614.65,-119.61,31.13,0.50,0.04
S,40,46.00,13.10,16.26,16.36,0.01,35.00,454.58,-111.31,17.43,0.06,0.04
L,40,49.40,24.90,25.00,25.22,-0.01,0.00,625.28,-113.03,28.95,0.98,0.04
S,40,43.70,13.10,16.27,16.28,0.01,35.00,456.42,-111.92,17.94,0.06,0.04
L,40,42.20,24.90,25.00,24.49,-0.01,0.00,642.95,-117.00,26.78,0.99,0.04
S,40,44.20,13.10,16.28,16.24,0.00,35.00,457.82,-109.08,18.29,0.06,0.04
L,40,41.70,24.90,25.00,22.81,-0.00,0.00,689.76,-118.25,24.43,0.99,0.03
S,40,44.80,13.10,16.29,16.24,0.00,35.00,458.11,-109.39,18.38,0.06,0.04
L,40,80.00,24.90,25.00,24.37,-0.00,0.00,661.89,-118.89,23.63,0.99,0.03
S,40,45.30,13.10,16.28,16.20,0.00,35.00,459.23,-108.65,18.22,0.06,0.04
L,40,80.00,24.90,25.00,24.93,-0.00,0.00,650.90,-123.08,23.30,0.99,0.03
S,40,46.70,13.10,16.29,16.20,0.00,35.00,460.04,-104.84,18.62,0.06,0.04
L,40,80.00,24.90,25.00,24.77,-0.00,0.00,655.45,-123.19,23.12,0.99,0.04
S,40,46.10,13.10,16.30,16.29,-0.00,35.00,458.22,-99.89,18.67,0.06,0.04
L,40,13.20,24.90,25.00,24.92,-0.00,0.00,652.91,-119.63,23.20,0.99,0.04
S,40,45.40,13.10,16.28,16.40,-0.00,35.00,455.12,-96.18,18.17,0.06,0.04
L,40,9.80,24.90,25.00,25.25,-0.01,0.00,644.64,-101.75,22.93,0.99,0.04
S,40,44.70,13.10,16.28,16.30,-0.00,35.00,457.05,-91.96,18.15,0.06,0.04
L,40,13.60,24.90,25.00,25.30,-0.06,0.00,642.07,97.09,22.94,0.99,0.03
S,40,43.30,13.10,16.26,16.40,-0.01,35.00,453.75,-88.98,17.53,0.06,0.04
L,40,11.40,24.90,25.00,24.81,-0.07,0.00,653.09,52.92,20.19,0.99,0.01
S,40,45.80,13.10,16.25,16.26,-0.01,35.00,456.37,-79.34,16.89,0.06,0.04
L,40,80.00,24.90,25.00,24.87,-0.08,0.00,652.69,75.15,12.68,0.99,0.00
S,40,45.30,13.10,16.24,16.28,-0.01,35.00,455.49,-79.92,16.52,0.06,0.04
L,40,80.00,24.90,25.00,25.07,-0.13,0.00,648.22,290.05,5.97,0.99,0.01
S,40,45.80,13.10,16.24,16.35,-0.01,35.00,453.29,-76.52,15.59,0.06,0.03
L,40,80.00,24.90,25.00,25.21,-0.20,0.00,644.04,467.94,1.75,0.99,0.00
S,40,45.90,13.10,16.25,16.37,-0.01,35.00,452.41,-76.53,14.83,0.06,0.03
L,40,15.80,24.90,25.00,25.15,-0.20,0.00,644.41,412.21,14.18,0.99,0.02
S,40,46.50,13.10,16.26,16.42,-0.01,35.00,450.65,-72.25,14.41,0.06,0.03
L,40,18.50,24.90,25.00,24.87,-0.19,0.00,650.81,416.06,29.99,0.98,0.05
S,40,44.70,13.10,16.28,16.26,-0.01,35.00,454.51,-67.17,13.57,0.06,0.03
L,40,80.00,24.90,25.00,24.56,-0.08,0.00,659.68,47.47,44.26,0.50,0.08
S,40,44.20,13.10,16.30,16.26,-0.01,35.00,455.00,-61.24,13.02,0.06,0.03
L,40,51.00,24.90,25.00,24.59,-0.07,0.00,661.53,211.28,49.44,0.50,0.08
S,40,42.60,13.10,16.32,16.30,-0.01,35.00,454.80,-63.77,12.33,0.07,0.03
L,40,56.80,24.90,25.00,25.06,0.02,0.00,651.47,-108.80,44.34,0.50,0.06
S,40,42.80,13.10,16.34,16.26,-0.01,35.00,456.38,-68.76,11.60,0.07,0.02
L,40,58.90,24.90,25.00,25.16,-0.13,0.00,648.65,584.95,37.92,0.50,0.04
S,40,41.70,13.10,16.35,16.29,-0.01,35.00,456.45,-73.74,11.26,0.07,0.03
L,40,57.70,24.90,25.00,24.85,-0.21,0.00,655.90,651.10,30.09,0.50,0.05
S,40,41.10,13.10,16.36,16.57,-0.00,35.00,449.81,-76.11,10.91,0.07,0.02
L,40,56.30,24.90,25.00,23.85,-0.11,0.00,682.77,228.35,40.77,0.50,0.11
S,40,41.00,13.10,16.35,16.20,-0.00,35.00,458.12,-86.39,11.12,0.07,0.03
L,40,54.60,24.90,25.00,23.13,0.02,0.00,708.22,-98.25,52.59,0.50,0.11
S,40,39.80,13.10,16.33,16.42,0.00,35.00,452.64,-94.40,11.75,0.07,0.03
L,40,53.30,24.90,25.00,24.84,0.02,0.00,674.39,90.84,44.45,0.50,0.03
S,40,40.40,13.10,16.31,16.37,0.00,35.00,452.81,-97.33,12.69,0.07,0.03
L,40,53.70,24.90,25.00,25.85,-0.10,0.00,648.91,546.12,31.55,0.50,0.02
S,40,38.80,13.10,16.28,16.28,0.01,35.00,454.27,-97.69,13.45,0.06,0.04
L,40,52.40,24.90,25.00,25.18,-0.11,0.00,661.48,402.50,30.94,0.50,0.07
L,40,52.40,24.90,25.00,25.18,-0.11,0.00,661.48,402.50,30.94,0.50,0.07
S,40,40.30,13.10,16.26,16.20,0.01,35.00,455.69,-99.25,14.52,0.06,0.04
L,40,51.30,24.90,25.00,24.50,-0.03,0.00,678.18,126.84,41.44,0.50,0.09
S,40,38.80,13.10,16.25,16.28,0.01,35.00,453.59,-103.52,15.13,0.06,0.04
L,40,51.40,24.90,25.00,24.50,0.07,0.00,681.24,-107.76,44.97,0.50,0.06
S,40,38.60,13.10,16.23,16.24,0.01,35.00,454.05,-107.71,15.65,0.06,0.04
L,40,49.50,24.90,25.00,25.18,0.08,0.00,666.38,-5.61,37.31,0.50,0.02
S,40,35.90,13.10,16.24,16.57,0.01,35.00,445.58,-110.17,16.33,0.06,0.04
L,40,49.80,24.90,25.00,25.41,0.08,0.00,659.18,-35.26,23.54,0.99,0.00
S,40,35.20,13.10,16.25,16.06,0.01,35.00,457.32,-111.69,17.01,0.06,0.04
L,40,47.90,24.90,25.00,24.97,0.09,0.00,668.31,-77.48,13.51,0.99,0.00
S,40,32.70,13.10,16.27,16.30,0.01,35.00,452.51,-113.36,17.79,0.06,0.04
L,40,48.40,24.90,25.00,25.12,0.16,0.00,664.68,-313.28,6.07,0.99,0.01
S,40,34.30,13.10,16.28,16.26,0.01,35.00,453.81,-114.81,18.07,0.06,0.04
L,40,48.00,24.90,25.00,25.34,0.16,0.00,658.07,-267.21,2.41,0.99,0.04
S,40,33.00,13.10,16.29,16.27,0.01,35.00,453.89,-109.25,18.42,0.06,0.04
L,40,46.90,24.90,25.00,25.36,0.16,0.00,655.70,-278.64,16.43,0.99,0.02
S,40,32.10,13.10,16.29,16.33,0.01,35.00,452.40,-111.72,18.55,0.06,0.04
L,40,46.10,24.90,25.00,25.69,0.11,0.00,645.09,-106.02,27.17,0.99,0.04
S,40,36.60,13.10,16.28,16.28,0.01,35.00,453.21,-111.09,18.15,0.06,0.04
L,40,45.50,24.90,25.00,25.89,0.10,0.00,635.64,-178.10,33.71,0.50,0.05
S,40,35.60,13.10,16.29,16.34,0.01,35.00,451.69,-121.76,18.31,0.06,0.04
L,40,44.40,24.90,25.00,25.82,0.10,0.00,632.35,-215.07,33.90,0.50,0.05
S,40,32.90,13.10,16.29,16.21,0.01,35.00,454.83,-107.55,18.32,0.06,0.04
L,40,43.70,24.90,25.00,25.94,0.02,0.00,624.47,45.04,35.19,0.50,0.05
S,40,33.60,13.10,16.29,16.19,0.00,35.00,455.82,-111.05,18.44,0.06,0.04
L,40,42.90,24.90,25.00,25.17,0.16,0.00,639.04,-556.82,31.09,0.50,0.05
S,40,34.20,13.10,16.29,16.27,0.00,35.00,454.40,-114.15,18.45,0.06,0.04
S,40,34.30,13.10,16.29,16.27,0.00,35.00,454.61,-113.23,18.47,0.06,0.04
L,40,43.30,24.90,25.00,23.47,0.16,0.00,682.54,-409.50,33.35,0.50,0.05
L,40,43.20,24.90,25.00,24.49,0.10,0.00,664.86,-190.31,43.98,0.50,0.07
S,40,30.10,13.10,16.29,16.37,0.00,35.00,452.02,-109.41,18.44,0.06,0.04
L,40,43.60,24.90,25.00,25.36,0.07,0.00,644.93,-206.46,49.18,0.50,0.08
S,40,30.20,13.10,16.29,16.33,0.00,35.00,452.66,-105.23,18.51,0.06,0.04
L,40,43.40,24.90,25.00,24.59,-0.07,0.00,662.96,245.96,48.08,0.50,0.07
S,40,32.30,13.10,16.28,16.31,-0.00,35.00,452.66,-98.78,18.26,0.06,0.04
L,40,45.20,24.90,25.00,24.69,0.06,0.00,662.80,-426.21,39.78,0.50,0.05
S,40,28.60,13.10,16.27,16.39,-0.00,35.00,450.35,-101.09,17.95,0.06,0.04
L,40,45.40,24.90,25.00,24.61,0.09,0.00,666.71,-347.41,25.81,0.99,0.04
S,40,30.30,13.10,16.27,16.39,-0.00,35.00,449.50,-96.09,17.81,0.06,0.04
L,40,44.40,24.90,25.00,24.68,0.09,0.00,667.17,-308.28,30.98,0.50,0.05
S,41,25.30,13.10,23.07,16.27,-0.01,35.00,630.37,-87.72,17.46,0.40,0.04
L,40,43.20,24.90,25.00,25.10,0.08,0.00,658.14,-283.86,39.54,0.50,0.07
S,40,27.00,13.10,20.99,17.01,-0.01,35.00,596.43,-82.68,16.83,0.30,0.04
L,40,40.60,24.90,25.00,25.47,0.07,0.00,647.68,-291.29,45.26,0.50,0.07
S,40,22.50,13.10,21.87,18.73,-0.01,29.69,597.58,-77.65,16.39,0.47,0.03
L,40,33.30,24.90,25.00,25.52,0.06,0.00,643.78,-281.03,47.58,0.50,0.07
S,40,29.80,13.10,16.24,20.13,-0.01,35.00,432.01,-71.78,15.60,0.06,0.03
L,40,80.00,24.90,25.00,25.42,0.05,0.00,643.37,-284.22,49.27,0.50,0.08
S,40,28.30,13.10,16.25,20.16,-0.01,35.00,409.04,-69.61,15.02,0.06,0.03
L,40,80.00,24.90,25.00,25.25,-0.07,0.00,645.41,159.48,50.77,0.50,0.08
S,40,30.50,13.10,16.27,19.27,-0.01,35.00,410.07,-64.74,14.22,0.06,0.03
L,40,58.30,24.90,25.00,25.09,-0.02,0.00,647.99,-202.28,47.18,0.50,0.04
S,40,28.60,13.10,16.30,17.75,-0.01,35.00,432.97,-58.48,12.94,0.06,0.03
L,40,80.00,24.90,25.00,24.98,0.08,0.00,650.44,-480.51,33.08,0.50,0.03
S,40,32.80,13.10,16.32,16.70,-0.01,35.00,452.79,-59.40,12.08,0.07,0.03
L,40,80.00,24.90,25.00,24.73,0.09,0.00,657.06,-393.05,31.75,0.50,0.05
S,40,34.80,13.10,16.35,16.35,-0.02,35.00,460.25,-40.39,11.33,0.07,0.03
L,40,80.00,24.90,25.00,24.48,0.08,0.00,665.21,-351.94,41.57,0.50,0.07
S,40,34.80,13.10,16.37,16.13,-0.01,35.00,466.66,-80.60,10.69,0.07,0.03
L,40,80.00,24.90,25.00,24.67,0.07,0.00,663.14,-339.89,49.93,0.50,0.08
S,40,41.20,13.10,16.40,16.11,-0.01,35.00,469.39,-75.46,9.80,0.07,0.02
L,40,80.00,24.90,25.00,24.73,0.05,0.00,663.51,-325.60,55.26,0.50,0.09
S,40,36.10,13.10,16.37,16.11,-0.00,35.00,470.26,-88.26,10.66,0.07,0.03
L,40,80.00,24.90,25.00,24.50,-0.18,0.00,671.12,513.10,59.26,0.50,0.09
S,40,45.60,13.10,16.34,16.41,0.00,35.00,463.22,-93.37,11.54,0.07,0.03
L,40,80.00,24.90,25.00,23.46,-0.12,0.00,701.08,-17.60,43.49,0.50,0.07
S,40,46.70,13.10,16.32,16.54,0.01,35.00,458.74,-99.21,12.29,0.07,0.03
L,40,80.00,24.90,25.00,24.44,0.08,0.00,684.62,-646.42,20.38,0.99,0.03
S,40,47.10,13.10,16.27,17.01,0.01,35.00,443.92,-98.92,14.18,0.06,0.04
L,40,80.00,24.90,25.00,23.18,0.16,0.00,720.69,-661.41,19.38,0.99,0.02
S,40,46.80,13.10,16.25,16.48,0.01,35.00,452.97,-101.07,15.08,0.06,0.04
L,40,80.00,24.90,25.00,22.80,0.16,0.00,741.22,-569.95,35.10,0.50,0.06
S,40,49.60,13.10,16.24,16.54,0.01,35.00,449.62,-104.08,15.49,0.06,0.04
L,40,80.00,24.90,25.00,23.14,0.09,0.00,745.23,-344.70,50.00,0.50,0.08
S,40,51.20,13.10,16.23,15.70,0.01,35.00,469.61,-103.04,16.14,0.06,0.04
L,40,80.00,24.90,25.00,23.87,0.07,0.00,736.96,-384.98,59.32,0.50,0.10
S,41,48.00,13.10,16.24,16.46,0.01,35.00,453.15,-109.73,16.66,0.06,0.04
L,40,48.60,24.90,25.00,24.45,-0.02,0.00,728.41,-114.08,61.43,0.50,0.10
S,40,50.00,13.10,16.25,16.44,0.01,35.00,452.58,-113.14,16.98,0.06,0.04
